Wed Sep 9 11:15:40 PDT 2015, dense_8_x_2097152, 8, 2097152, 16777216, 1048572.00, 605395.64, -0.000000, 2097152.00000, 0.00000, 0.00000, -nan, MKL SpMV, 23.24307, 1.443632, 14.436, CPU CSR I/O Proxy, 4.05797, 8.268778, 82.688, Merge SpMV, 4.07851, 8.227138, 82.271, Merge SpMV NUMA, Numa setup ms, 15.46383, 2.93748, 11.422877, 114.229, POSKI Tuned SpMV, poski tune ms, 931.57910, 4.56128, 7.356360, 73.564,
Wed Sep 9 11:16:24 PDT 2015, dense_4_x_4194304, 4, 4194304, 16777216, 2097150.00, 1210791.27, -0.000000, 4194304.00000, 0.00000, 0.00000, -nan, MKL SpMV, 23.40418, 1.433694, 14.337, CPU CSR I/O Proxy, 4.06571, 8.253022, 82.530, Merge SpMV, 4.06687, 8.250669, 82.507, Merge SpMV NUMA, Numa setup ms, 14.08696, 2.90114, 11.565941, 115.659, POSKI Tuned SpMV, poski tune ms, 888.15997, 5.61326, 5.977710, 59.777,
Wed Sep 9 11:17:08 PDT 2015, dense_2_x_8388608, 2, 8388608, 16777216, 4194303.00, 2421582.54, 0.000000, 8388608.00000, 0.00000, 0.00000, -nan, MKL SpMV, 23.83253, 1.407926, 14.079, CPU CSR I/O Proxy, 4.93073, 6.805163, 68.052, Merge SpMV, 4.93381, 6.800923, 68.009, Merge SpMV NUMA, Numa setup ms, 14.49180, 3.63998, 9.218307, 92.183, POSKI Tuned SpMV, poski tune ms, 1743.48999, 10.41851, 3.220656, 32.207,
Wed Sep 9 11:18:02 PDT 2015, dense_1_x_16777216, 1, 16777216, 16777216, 8388607.50, 4843165.09, -nan, 16777216.00000, 0.00000, 0.00000, -nan, MKL SpMV, 23.38551, 1.434839, 14.348, CPU CSR I/O Proxy, 6.49313, 5.167679, 51.677, Merge SpMV, 6.49811, 5.163725, 51.637, Merge SpMV NUMA, Numa setup ms, 13.94415, 5.11384, 6.561488, 65.615, POSKI Tuned SpMV, poski tune ms, 3387.74292, 19.42123, 1.727719, 17.277,


Wed Sep 9 11:19:11 PDT 2015, /home/dumerrill/graphs/spmv/cant, 62451, 62451, 				4007383, 	169.11, 107.17, 0.999938, 64.16844, 14.05626, 0.21905, -0.90855, MKL SpMV, 0.27746, 28.885793, 291.559, CPU CSR I/O Proxy, 0.16602, 48.277174, 487.286, Merge SpMV, 0.17183, 46.644092, 470.802, Merge SpMV NUMA, Numa setup ms, 5.00703, 0.15216, 52.674566, 531.671, POSKI Tuned SpMV, poski tune ms, 197.43800, 0.84145, 9.524920, 96.140,
Wed Sep 9 11:19:21 PDT 2015, /home/dumerrill/graphs/spmv/consph, 83334, 83334, 				6010480, 	2014.68, 5007.89, 0.974461, 72.12518, 19.08019, 0.26454, -2.54808, MKL SpMV, 0.93296, 12.884800, 129.920, CPU CSR I/O Proxy, 0.97004, 12.392192, 124.953, Merge SpMV, 0.97056, 12.385567, 124.886, Merge SpMV NUMA, Numa setup ms, 8.77786, 0.66365, 18.113427, 182.641, POSKI Tuned SpMV, poski tune ms, 186.35583, 1.30562, 9.207107, 92.837,
Wed Sep 9 11:19:37 PDT 2015, /home/dumerrill/graphs/spmv/cop20k_A, 121192, 121192, 			2624331, 	38089.68, 36017.12, 0.104356, 21.65433, 13.79266, 0.63695, 0.42892, MKL SpMV, 0.34561, 15.186876, 156.077, CPU CSR I/O Proxy, 0.13720, 38.254208, 393.142, Merge SpMV, 0.15869, 33.074770, 339.912, Merge SpMV NUMA, Numa setup ms, 3.64804, 0.16327, 32.146571, 330.373, POSKI Tuned SpMV, poski tune ms, 285.44687, 0.83194, 6.308935, 64.837,
Wed Sep 9 11:19:50 PDT 2015, /home/dumerrill/graphs/spmv/dense2, 2000, 2000, 				4000000, 	666.67, 471.40, -0.000000, 2000.00000, 0.00000, 0.00000, -nan, MKL SpMV, 0.23286, 34.355128, 343.654, CPU CSR I/O Proxy, 0.17311, 46.213718, 462.276, Merge SpMV, 0.17338, 46.142517, 461.564, Merge SpMV NUMA, Numa setup ms, 5.37205, 0.13756, 58.158075, 581.755, POSKI Tuned SpMV, poski tune ms, 64.59308, 0.67910, 11.780228, 117.838,
Wed Sep 9 11:19:58 PDT 2015, /home/dumerrill/graphs/spmv/mac_econ_fwd500, 206500, 			206500, 	1273389, 143.76, 241.38, 0.999989, 6.16653, 4.43587, 0.71935, 3.17017, MKL SpMV, 0.09259, 27.507355, 301.838, CPU CSR I/O Proxy, 0.04722, 53.938964, 591.872, Merge SpMV, 0.08316, 30.626494, 336.064, Merge SpMV NUMA, Numa setup ms, 2.41995, 0.08486, 30.013028, 329.333, POSKI Tuned SpMV, poski tune ms, 517.89618, 0.62812, 4.054573, 44.491,
Wed Sep 9 11:20:13 PDT 2015, /home/dumerrill/graphs/spmv/mc2depi, 525825, 525825, 			2100225, 	235.20, 176.35, 0.999998, 3.99415, 0.07632, 0.01911, -13.00019, MKL SpMV, 0.17207, 24.410688, 280.777, CPU CSR I/O Proxy, 0.08036, 52.269040, 601.209, Merge SpMV, 0.16566, 25.356238, 291.652, Merge SpMV NUMA, Numa setup ms, 3.35407, 0.16465, 25.511234, 293.435, POSKI Tuned SpMV, poski tune ms, 1242.37085, 1.02792, 4.086378, 47.002,
Wed Sep 9 11:20:29 PDT 2015, /home/dumerrill/graphs/spmv/pdb1HYS, 36417, 36417, 			4344765, 	953.89, 3430.82, 0.942342, 119.30596, 31.86038, 0.26705, -0.49652, MKL SpMV, 0.38805, 22.392529, 225.051, CPU CSR I/O Proxy, 0.24822, 35.006942, 351.830, Merge SpMV, 0.24617, 35.298587, 354.761, Merge SpMV NUMA, Numa setup ms, 5.07212, 0.20477, 42.435330, 426.487, POSKI Tuned SpMV, poski tune ms, 122.32780, 0.95052, 9.141838, 91.878,
Wed Sep 9 11:20:39 PDT 2015, /home/dumerrill/graphs/spmv/pwtk, 217918, 217918, 				11634424, 	5406.53, 29022.56, 0.889349, 53.38900, 4.74390, 0.08886, -1.72447, MKL SpMV, 2.32061, 10.027055, 101.397, CPU CSR I/O Proxy, 2.35389, 9.885271, 99.964, Merge SpMV, 2.35680, 9.873068, 99.840, Merge SpMV NUMA, Numa setup ms, 11.83391, 1.66933, 13.939011, 140.957, POSKI Tuned SpMV, poski tune ms, 542.06799, 2.63700, 8.823994, 89.232,
