Wed Sep 9 16:26:15 PDT 2015, c-58, 37595, 37595, 552557, 26979.03, 8986.45, -0.867094, 14.69762, 43.36182, 2.95026, 54.99908, MKL SpMV, 0.12264, 9.010772, 93.786, CPU CSR I/O Proxy, 0.02517, 43.900469, 456.926, Merge SpMV, 0.04759, 23.219748, 241.676, Merge SpMV NUMA, Numa setup ms, 1.97291, 0.04744, 23.296359, 242.474, POSKI Tuned SpMV, poski tune ms, 120.12386, 0.35112, 3.147352, 32.758,
Wed Sep 9 16:26:35 PDT 2015, c-59, 41282, 41282, 480536, 27538.04, 10009.57, -0.823282, 11.64033, 23.76100, 2.04127, 54.41144, MKL SpMV, 0.13185, 7.289304, 76.650, CPU CSR I/O Proxy, 0.02208, 43.517167, 457.603, Merge SpMV, 0.04313, 22.284384, 234.330, Merge SpMV NUMA, Numa setup ms, 2.01893, 0.04200, 22.882697, 240.622, POSKI Tuned SpMV, poski tune ms, 126.08814, 0.30668, 3.133836, 32.954,
Wed Sep 9 16:26:56 PDT 2015, c-60, 43640, 43640, 298578, 26714.26, 12903.00, -0.718522, 6.84184, 14.27567, 2.08652, 85.60444, MKL SpMV, 0.08379, 7.126756, 77.517, CPU CSR I/O Proxy, 0.01564, 38.181967, 415.304, Merge SpMV, 0.03013, 19.820488, 215.587, Merge SpMV NUMA, Numa setup ms, 1.70994, 0.02943, 20.290765, 220.702, POSKI Tuned SpMV, poski tune ms, 107.16605, 0.22298, 2.678028, 29.129,
Wed Sep 9 16:27:16 PDT 2015, c-61, 43618, 43618, 310016, 26540.94, 12558.04, -0.720446, 7.10752, 16.75979, 2.35803, 110.61911, MKL SpMV, 0.08815, 7.034100, 76.279, CPU CSR I/O Proxy, 0.01607, 38.591803, 418.496, Merge SpMV, 0.03073, 20.173822, 218.768, Merge SpMV NUMA, Numa setup ms, 1.72806, 0.03052, 20.318794, 220.341, POSKI Tuned SpMV, poski tune ms, 222.31317, 0.26042, 2.380909, 25.819,
Wed Sep 9 16:27:39 PDT 2015, c-62, 41731, 41731, 559343, 28647.16, 10113.76, -0.841274, 13.40354, 34.31527, 2.56017, 90.76438, MKL SpMV, 0.11061, 10.113648, 105.664, CPU CSR I/O Proxy, 0.02598, 43.063698, 449.914, Merge SpMV, 0.04800, 23.308013, 243.514, Merge SpMV NUMA, Numa setup ms, 1.78289, 0.04788, 23.362022, 244.078, POSKI Tuned SpMV, poski tune ms, 147.58395, 0.39135, 2.858543, 29.865,
Wed Sep 9 16:28:00 PDT 2015, c-62ghs, 41731, 41731, 559343, 28647.16, 10113.76, -0.841274, 13.40354, 34.31527, 2.56017, 90.76438, MKL SpMV, 0.11134, 10.047499, 104.973, CPU CSR I/O Proxy, 0.02615, 42.777621, 446.925, Merge SpMV, 0.04804, 23.285887, 243.283, Merge SpMV NUMA, Numa setup ms, 2.10404, 0.04773, 23.436185, 244.853, POSKI Tuned SpMV, poski tune ms, 122.19596, 0.37906, 2.951181, 30.833,
Wed Sep 9 16:28:20 PDT 2015, c-63, 44234, 44234, 434704, 28663.99, 11351.58, -0.790666, 9.82737, 21.34320, 2.17181, 80.22548, MKL SpMV, 0.12390, 7.017050, 74.455, CPU CSR I/O Proxy, 0.02047, 42.473749, 450.669, Merge SpMV, 0.04006, 21.700689, 230.256, Merge SpMV NUMA, Numa setup ms, 2.18296, 0.03935, 22.096179, 234.452, POSKI Tuned SpMV, poski tune ms, 100.07095, 0.24702, 3.519565, 37.344,
Wed Sep 9 16:28:40 PDT 2015, c-64, 51035, 51035, 717841, 35121.91, 12034.29, -0.824751, 14.06566, 153.47321, 10.91120, 47.64632, MKL SpMV, 0.29207, 4.915521, 51.252, CPU CSR I/O Proxy, 0.02893, 49.621534, 517.382, Merge SpMV, 0.06068, 23.660165, 246.694, Merge SpMV NUMA, Numa setup ms, 2.00009, 0.05960, 24.088103, 251.156, POSKI Tuned SpMV, poski tune ms, 159.12318, 0.31593, 4.544249, 47.381,
Wed Sep 9 16:28:59 PDT 2015, c-64b, 51035, 51035, 717841, 35121.91, 12034.29, -0.824751, 14.06566, 153.47321, 10.91120, 47.64632, MKL SpMV, 0.29122, 4.929887, 51.402, CPU CSR I/O Proxy, 0.02893, 49.626761, 517.437, Merge SpMV, 0.06115, 23.476752, 244.782, Merge SpMV NUMA, Numa setup ms, 2.12002, 0.05976, 24.022840, 250.476, POSKI Tuned SpMV, poski tune ms, 144.83786, 0.34440, 4.168645, 43.465,
Wed Sep 9 16:29:19 PDT 2015, c-65, 48066, 48066, 360528, 29274.29, 13290.85, -0.728813, 7.50069, 18.91393, 2.52163, 110.66393, MKL SpMV, 0.09757, 7.390474, 79.817, CPU CSR I/O Proxy, 0.01806, 39.920116, 431.134, Merge SpMV, 0.03453, 20.884785, 225.554, Merge SpMV NUMA, Numa setup ms, 1.89900, 0.04402, 16.381325, 176.917, POSKI Tuned SpMV, poski tune ms, 126.62983, 0.26529, 2.717973, 29.354,
Wed Sep 9 16:29:43 PDT 2015, c-66, 49989, 49989, 499007, 32843.43, 13126.56, -0.785196, 9.98234, 36.53375, 3.65984, 72.62401, MKL SpMV, 0.16774, 5.949695, 63.073, CPU CSR I/O Proxy, 0.02318, 43.054583, 456.424, Merge SpMV, 0.04500, 22.177614, 235.106, Merge SpMV NUMA, Numa setup ms, 2.08092, 0.04408, 22.639767, 240.006, POSKI Tuned SpMV, poski tune ms, 139.91809, 0.34295, 2.910082, 30.850,
Wed Sep 9 16:30:05 PDT 2015, c-66b, 49989, 49989, 499007, 32843.43, 13126.56, -0.785196, 9.98234, 36.53375, 3.65984, 72.62401, MKL SpMV, 0.16808, 5.937837, 62.947, CPU CSR I/O Proxy, 0.02322, 42.972304, 455.552, Merge SpMV, 0.04547, 21.949196, 232.685, Merge SpMV NUMA, Numa setup ms, 2.25806, 0.04441, 22.471226, 238.219, POSKI Tuned SpMV, poski tune ms, 153.58209, 0.28857, 3.458432, 36.663,
Wed Sep 9 16:30:26 PDT 2015, c-67, 57975, 57975, 531935, 38558.47, 15742.15, -0.783275, 9.17525, 44.73353, 4.87546, 25.48545, MKL SpMV, 0.18240, 5.832750, 62.142, CPU CSR I/O Proxy, 0.02288, 46.488851, 495.289, Merge SpMV, 0.04850, 21.937384, 233.719, Merge SpMV NUMA, Numa setup ms, 2.05898, 0.04745, 22.419902, 238.860, POSKI Tuned SpMV, poski tune ms, 127.88582, 0.32984, 3.225366, 34.363,
Wed Sep 9 16:30:48 PDT 2015, c-67b, 57975, 57975, 531935, 38558.47, 15742.15, -0.783275, 9.17525, 44.73353, 4.87546, 25.48545, MKL SpMV, 0.18266, 5.824307, 62.052, CPU CSR I/O Proxy, 0.02296, 46.333866, 493.638, Merge SpMV, 0.04840, 21.982017, 234.195, Merge SpMV NUMA, Numa setup ms, 1.90806, 0.04748, 22.407839, 238.732, POSKI Tuned SpMV, poski tune ms, 188.46106, 0.27645, 3.848305, 41.000,
Wed Sep 9 16:31:08 PDT 2015, c-68, 64810, 64810, 566006, 42722.29, 18058.40, -0.784667, 8.73331, 18.68703, 2.13974, 52.81754, MKL SpMV, 0.19550, 5.790389, 61.882, CPU CSR I/O Proxy, 0.02795, 40.495373, 432.775, Merge SpMV, 0.05109, 22.159136, 236.815, Merge SpMV NUMA, Numa setup ms, 2.01106, 0.05096, 22.211781, 237.378, POSKI Tuned SpMV, poski tune ms, 174.88289, 0.35748, 3.166645, 33.842,
Wed Sep 9 16:31:30 PDT 2015, c-69, 67458, 67458, 623970, 42994.11, 17612.12, -0.775137, 9.24976, 21.94842, 2.37287, 113.48211, MKL SpMV, 0.15276, 8.169208, 86.991, CPU CSR I/O Proxy, 0.02802, 44.545074, 474.346, Merge SpMV, 0.05576, 22.379540, 238.312, Merge SpMV NUMA, Numa setup ms, 2.29192, 0.05448, 22.906168, 243.920, POSKI Tuned SpMV, poski tune ms, 202.08907, 0.36136, 3.453499, 36.775,
Wed Sep 9 16:31:50 PDT 2015, c-70, 68924, 68924, 658986, 44446.47, 17898.83, -0.785229, 9.56105, 22.64587, 2.36855, 104.90921, MKL SpMV, 0.18496, 7.125682, 75.729, CPU CSR I/O Proxy, 0.02930, 44.989272, 478.126, Merge SpMV, 0.05980, 22.038959, 234.220, Merge SpMV NUMA, Numa setup ms, 1.93906, 0.05837, 22.578527, 239.954, POSKI Tuned SpMV, poski tune ms, 184.78918, 0.40993, 3.215107, 34.169,
Wed Sep 9 16:32:10 PDT 2015, c-71, 76638, 76638, 859554, 49999.46, 18551.02, -0.812196, 11.21577, 29.23674, 2.60675, 158.26861, MKL SpMV, 0.20687, 8.310265, 87.548, CPU CSR I/O Proxy, 0.03770, 45.593643, 480.327, Merge SpMV, 0.07350, 23.388795, 246.400, Merge SpMV NUMA, Numa setup ms, 2.34199, 0.07258, 23.687232, 249.544, POSKI Tuned SpMV, poski tune ms, 352.49591, 0.54051, 3.180528, 33.507,
Wed Sep 9 16:32:31 PDT 2015, c-72, 84064, 84064, 707558, 52909.15, 22681.63, -0.760511, 8.41690, 22.10476, 2.62624, 152.75846, MKL SpMV, 0.17243, 8.206717, 87.917, CPU CSR I/O Proxy, 0.03122, 45.322894, 485.537, Merge SpMV, 0.06328, 22.361523, 239.556, Merge SpMV NUMA, Numa setup ms, 2.00582, 0.06176, 22.912915, 245.463, POSKI Tuned SpMV, poski tune ms, 234.59006, 0.40543, 3.490385, 37.392,
Wed Sep 9 16:32:50 PDT 2015, c-73, 169422, 169422, 1279274, 113337.33, 50946.57, -0.768199, 7.55081, 151.49401, 20.06327, 181.03458, MKL SpMV, 0.56770, 4.506892, 48.650, CPU CSR I/O Proxy, 0.05511, 46.423011, 501.119, Merge SpMV, 0.11682, 21.902083, 236.425, Merge SpMV NUMA, Numa setup ms, 2.77686, 0.11436, 22.372861, 241.506, POSKI Tuned SpMV, poski tune ms, 444.07797, 0.63238, 4.045888, 43.674,
Wed Sep 9 16:33:12 PDT 2015, c-73b, 169422, 169422, 1279274, 113337.33, 50946.57, -0.768199, 7.55081, 151.49401, 20.06327, 181.03458, MKL SpMV, 0.56843, 4.501084, 48.587, CPU CSR I/O Proxy, 0.05536, 46.217942, 498.905, Merge SpMV, 0.11733, 21.806087, 235.388, Merge SpMV NUMA, Numa setup ms, 2.49004, 0.11444, 22.356396, 241.329, POSKI Tuned SpMV, poski tune ms, 440.18604, 0.65600, 3.900219, 42.101,
Wed Sep 9 16:33:34 PDT 2015, c-big, 345241, 345241, 2341011, 199404.16, 95414.65, -0.666076, 6.78080, 36.44413, 5.37460, 468.09118, MKL SpMV, 0.72476, 6.460124, 70.317, CPU CSR I/O Proxy, 0.11651, 40.185836, 437.417, Merge SpMV, 0.20126, 23.263987, 253.225, Merge SpMV NUMA, Numa setup ms, 3.56102, 0.20145, 23.241468, 252.980, POSKI Tuned SpMV, poski tune ms, 839.76196, 1.05885, 4.421782, 48.130,
Wed Sep 9 16:33:53 PDT 2015, c8_mat11, 4562, 5761, 2462970, 2153.21, 1299.74, -0.487982, 539.88821, 427.65975, 0.79213, -0.11292, MKL SpMV, 0.18631, 26.439976, 264.694, CPU CSR I/O Proxy, 0.08533, 57.731470, 577.956, Merge SpMV, 0.08698, 56.635964, 566.989, Merge SpMV NUMA, Numa setup ms, 3.47710, 0.08756, 56.259275, 563.218, POSKI Tuned SpMV, poski tune ms, 145.65302, 0.60518, 8.139615, 81.487,
Wed Sep 9 16:34:03 PDT 2015, c8_mat11_I, 4562, 5761, 2462970, 2214.33, 1162.37, 0.487982, 539.88821, 427.65975, 0.79213, -0.11292, MKL SpMV, 0.18415, 26.749365, 267.791, CPU CSR I/O Proxy, 0.08614, 57.185142, 572.487, Merge SpMV, 0.08631, 57.070483, 571.339, Merge SpMV NUMA, Numa setup ms, 3.82519, 0.08771, 56.160419, 562.228, POSKI Tuned SpMV, poski tune ms, 311.22400, 0.54034, 9.116437, 91.266,
Wed Sep 9 16:34:11 PDT 2015, ca-AstroPh, 18772, 18772, 396160, 6146.55, 4381.55, 0.013434, 21.10377, 30.56801, 1.44846, 3.85172, MKL SpMV, 0.03803, 20.832069, 214.243, CPU CSR I/O Proxy, 0.02730, 29.026919, 298.522, Merge SpMV, 0.03052, 25.960108, 266.982, Merge SpMV NUMA, Numa setup ms, 1.92904, 0.03039, 26.069957, 268.112, POSKI Tuned SpMV, poski tune ms, 103.22714, 0.33147, 2.390310, 24.583,
Wed Sep 9 16:34:33 PDT 2015, ca-CondMat, 23133, 23133, 186936, 7540.47, 5425.85, 0.020323, 8.08092, 10.63600, 1.31619, 5.74603, MKL SpMV, 0.02281, 16.393652, 176.109, CPU CSR I/O Proxy, 0.01635, 22.869169, 245.672, Merge SpMV, 0.02068, 18.082204, 194.248, Merge SpMV NUMA, Numa setup ms, 1.68109, 0.02049, 18.246450, 196.012, POSKI Tuned SpMV, poski tune ms, 105.22008, 0.24980, 1.496657, 16.078,
Wed Sep 9 16:34:50 PDT 2015, ca-GrQc, 5242, 5242, 28980, 1728.99, 1235.76, 0.007187, 5.52842, 7.91791, 1.43222, 3.83171, MKL SpMV, 0.00702, 8.259561, 91.560, CPU CSR I/O Proxy, 0.00556, 10.431658, 115.638, Merge SpMV, 0.00736, 7.875428, 87.301, Merge SpMV NUMA, Numa setup ms, 1.56403, 0.00700, 8.280025, 91.787, POSKI Tuned SpMV, poski tune ms, 55.08709, 0.09313, 0.622329, 6.899,
Wed Sep 9 16:34:57 PDT 2015, ca-HepPh, 12008, 12008, 237010, 3929.87, 2803.55, 0.012817, 19.73767, 46.63690, 2.36284, 5.02074, MKL SpMV, 0.02508, 18.901146, 194.757, CPU CSR I/O Proxy, 0.01611, 29.414939, 303.091, Merge SpMV, 0.01795, 26.400616, 272.032, Merge SpMV NUMA, Numa setup ms, 1.77002, 0.01786, 26.534784, 273.414, POSKI Tuned SpMV, poski tune ms, 194.00906, 0.23695, 2.000491, 20.613,
Wed Sep 9 16:35:14 PDT 2015, ca-HepTh, 9877, 9877, 51971, 3243.03, 2338.04, 0.010876, 5.26182, 6.18639, 1.17571, 3.02130, MKL SpMV, 0.00905, 11.490895, 128.012, CPU CSR I/O Proxy, 0.00733, 14.183800, 158.012, Merge SpMV, 0.00855, 12.157156, 135.434, Merge SpMV NUMA, Numa setup ms, 1.75285, 0.00851, 12.218581, 136.119, POSKI Tuned SpMV, poski tune ms, 133.44502, 0.12632, 0.822879, 9.167,
Wed Sep 9 16:35:24 PDT 2015, ca2010, 710145, 710145, 3489366, 12721.23, 28148.46, 0.988628, 4.91360, 2.90003, 0.59020, 4.36700, MKL SpMV, 0.99734, 6.997312, 78.518, CPU CSR I/O Proxy, 0.96191, 7.255050, 81.410, Merge SpMV, 1.06487, 6.553593, 73.539, Merge SpMV NUMA, Numa setup ms, 5.03707, 0.71789, 9.721189, 109.082, POSKI Tuned SpMV, poski tune ms, 1759.46802, 2.09681, 3.328262, 37.347,
Wed Sep 9 16:35:56 PDT 2015, cage, 366, 366, 5124, 169.08, 73.68, -0.523570, 14.00000, 0.00000, 0.00000, -nan, MKL SpMV, 0.00509, 2.012133, 20.984, CPU CSR I/O Proxy, 0.00375, 2.736098, 28.534, Merge SpMV, 0.00471, 2.175972, 22.692, Merge SpMV NUMA, Numa setup ms, 1.53399, 0.00472, 2.171489, 22.646, POSKI Tuned SpMV, poski tune ms, 85.53505, 0.07837, 0.130763, 1.364,
Wed Sep 9 16:36:02 PDT 2015, cage10, 11397, 11397, 150645, 667.34, 1010.05, 0.927494, 13.21795, 3.98370, 0.30139, 0.29706, MKL SpMV, 0.01704, 17.684178, 184.869, CPU CSR I/O Proxy, 0.00938, 32.116969, 335.748, Merge SpMV, 0.01175, 25.639431, 268.033, Merge SpMV NUMA, Numa setup ms, 2.03514, 0.01223, 24.627755, 257.457, POSKI Tuned SpMV, poski tune ms, 68.09688, 0.13876, 2.171229, 22.698,
Wed Sep 9 16:36:13 PDT 2015, cage11, 39082, 39082, 559722, 1933.01, 3238.10, 0.940276, 14.32173, 4.47423, 0.31241, 0.39252, MKL SpMV, 0.05067, 22.093423, 230.190, CPU CSR I/O Proxy, 0.02301, 48.660578, 506.992, Merge SpMV, 0.03300, 33.920704, 353.418, Merge SpMV NUMA, Numa setup ms, 1.94597, 0.03276, 34.174791, 356.065, POSKI Tuned SpMV, poski tune ms, 109.74384, 0.34968, 3.201322, 33.354,
Wed Sep 9 16:36:29 PDT 2015, cage12, 130228, 130228, 2032536, 5628.78, 10085.43, 0.950275, 15.60752, 4.70918, 0.30172, 0.37149, MKL SpMV, 0.17950, 22.646178, 235.168, CPU CSR I/O Proxy, 0.07055, 57.623660, 598.389, Merge SpMV, 0.10786, 37.688359, 391.372, Merge SpMV NUMA, Numa setup ms, 3.16906, 0.10917, 37.235189, 386.666, POSKI Tuned SpMV, poski tune ms, 383.21780, 0.66485, 6.114225, 63.493,
Wed Sep 9 16:36:41 PDT 2015, cage13, 445315, 445315, 7479343, 16798.83, 33065.81, 0.956302, 16.79562, 5.12839, 0.30534, 0.43676, MKL SpMV, 1.69592, 8.820399, 91.355, CPU CSR I/O Proxy, 1.69109, 8.845567, 91.616, Merge SpMV, 1.70002, 8.799103, 91.134, Merge SpMV NUMA, Numa setup ms, 8.31819, 1.21379, 12.323948, 127.642, POSKI Tuned SpMV, poski tune ms, 1172.07190, 2.78824, 5.364922, 55.566,
Wed Sep 9 16:37:06 PDT 2015, cage14, 1505785, 1505785, 27130349, 50796.89, 105878.32, 0.961963, 18.01741, 5.36783, 0.29792, 0.41199, MKL SpMV, 10.28721, 5.274577, 54.502, CPU CSR I/O Proxy, 11.17390, 4.856022, 50.177, Merge SpMV, 11.07440, 4.899651, 50.628, Merge SpMV NUMA, Numa setup ms, 26.57509, 5.93747, 9.138689, 94.430, POSKI Tuned SpMV, poski tune ms, 2369.08691, 12.38656, 4.380611, 45.265,
Wed Sep 9 16:37:52 PDT 2015, cage15, 5154859, 5154859, 99199551, 155779.97, 346484.96, 0.966155, 19.24389, 5.73672, 0.29811, 0.45659, MKL SpMV, 36.99454, 5.362929, 55.301, CPU CSR I/O Proxy, 37.50695, 5.289662, 54.546, Merge SpMV, 37.97321, 5.224712, 53.876, Merge SpMV NUMA, Numa setup ms, 82.83806, 21.97121, 9.029959, 93.115, POSKI Tuned SpMV, poski tune ms, 7618.70801, 50.25463, 3.947877, 40.710,
Wed Sep 9 16:39:07 PDT 2015, cage3, 5, 5, 19, 1.58, 1.27, 0.091912, 3.80000, 0.74833, 0.19693, 0.34362, MKL SpMV, 0.00475, 0.008001, 0.093, CPU CSR I/O Proxy, 0.00310, 0.012254, 0.142, Merge SpMV, 0.00386, 0.009836, 0.114, Merge SpMV NUMA, Numa setup ms, 1.60718, 0.00407, 0.009331, 0.108, POSKI Tuned SpMV, poski tune ms, 9.88197, 0.06079, 0.000625, 0.007,
Wed Sep 9 16:39:12 PDT 2015, cage4, 9, 9, 49, 2.20, 1.73, 0.387101, 5.44444, 0.49690, 0.09127, 0.22361, MKL SpMV, 0.00471, 0.020807, 0.231, CPU CSR I/O Proxy, 0.00323, 0.030361, 0.337, Merge SpMV, 0.00399, 0.024559, 0.273, Merge SpMV NUMA, Numa setup ms, 1.53804, 0.00393, 0.024958, 0.277, POSKI Tuned SpMV,
Wed Sep 9 16:39:14 PDT 2015, cage5, 37, 37, 233, 6.05, 5.52, 0.668353, 6.29730, 1.87249, 0.29735, 0.15776, MKL SpMV, 0.00486, 0.095859, 1.050, CPU CSR I/O Proxy, 0.00327, 0.142318, 1.559, Merge SpMV, 0.00426, 0.109429, 1.199, Merge SpMV NUMA, Numa setup ms, 1.45197, 0.00417, 0.111818, 1.225, POSKI Tuned SpMV, poski tune ms, 66.37717, 0.07078, 0.006584, 0.072,
Wed Sep 9 16:39:20 PDT 2015, cage6, 93, 93, 785, 13.03, 11.82, 0.765504, 8.44086, 2.19218, 0.25971, -0.03068, MKL SpMV, 0.00491, 0.319959, 3.427, CPU CSR I/O Proxy, 0.00325, 0.482789, 5.171, Merge SpMV, 0.00434, 0.361761, 3.875, Merge SpMV NUMA, Numa setup ms, 1.35398, 0.00422, 0.371817, 3.982, POSKI Tuned SpMV, poski tune ms, 35.65407, 0.07096, 0.022126, 0.237,
Wed Sep 9 16:39:25 PDT 2015, cage7, 340, 340, 3084, 34.46, 36.83, 0.850044, 9.07059, 2.93173, 0.32321, 0.27372, MKL SpMV, 0.00475, 1.297357, 13.832, CPU CSR I/O Proxy, 0.00335, 1.839053, 19.607, Merge SpMV, 0.00452, 1.364620, 14.549, Merge SpMV NUMA, Numa setup ms, 1.52302, 0.00449, 1.373731, 14.646, POSKI Tuned SpMV, poski tune ms, 52.66499, 0.07092, 0.086977, 0.927,
Wed Sep 9 16:39:31 PDT 2015, cage8, 1015, 1015, 11003, 86.88, 102.97, 0.884822, 10.84039, 3.16479, 0.29194, 0.17082, MKL SpMV, 0.00553, 3.980665, 42.010, CPU CSR I/O Proxy, 0.00385, 5.715820, 60.322, Merge SpMV, 0.00507, 4.343825, 45.842, Merge SpMV NUMA, Numa setup ms, 1.43981, 0.00472, 4.659444, 49.173, POSKI Tuned SpMV, poski tune ms, 50.27199, 0.08324, 0.264372, 2.790,
Wed Sep 9 16:39:37 PDT 2015, cage9, 3534, 3534, 41594, 238.88, 335.90, 0.910045, 11.76967, 3.75187, 0.31877, 0.30966, MKL SpMV, 0.00817, 10.183878, 107.030, CPU CSR I/O Proxy, 0.00528, 15.752149, 165.552, Merge SpMV, 0.00676, 12.307668, 129.351, Merge SpMV NUMA, Numa setup ms, 1.71304, 0.00698, 11.916415, 125.239, POSKI Tuned SpMV, poski tune ms, 47.38403, 0.09358, 0.888954, 9.343,
Wed Sep 9 16:39:44 PDT 2015, cage_G_01, 10, 10, 30, 3.27, 1.44, 0.228283, 3.00000, 0.00000, 0.00000, -nan, MKL SpMV, 0.00463, 0.012971, 0.156, CPU CSR I/O Proxy, 0.00316, 0.018960, 0.228, Merge SpMV, 0.00387, 0.015507, 0.186, Merge SpMV NUMA, Numa setup ms, 1.54400, 0.00391, 0.015342, 0.184, POSKI Tuned SpMV, poski tune ms, 17.58599, 0.07003, 0.000857, 0.010,
Wed Sep 9 16:39:49 PDT 2015, cage_G_02, 14, 14, 42, 4.43, 1.87, 0.289377, 3.00000, 0.00000, 0.00000, -nan, MKL SpMV, 0.00481, 0.017453, 0.209, CPU CSR I/O Proxy, 0.00323, 0.026020, 0.312, Merge SpMV, 0.00411, 0.020435, 0.245, Merge SpMV NUMA, Numa setup ms, 1.51491, 0.00414, 0.020308, 0.244, POSKI Tuned SpMV, poski tune ms, 13.31019, 0.06310, 0.001331, 0.016,
Wed Sep 9 16:39:54 PDT 2015, cage_G_03, 24, 24, 72, 6.11, 2.90, 0.522319, 3.00000, 0.00000, 0.00000, -nan, MKL SpMV, 0.00482, 0.029847, 0.358, CPU CSR I/O Proxy, 0.00329, 0.043716, 0.525, Merge SpMV, 0.00411, 0.035002, 0.420, Merge SpMV NUMA, Numa setup ms, 1.40810, 0.00432, 0.033333, 0.400, POSKI Tuned SpMV, poski tune ms, 43.39099, 0.06587, 0.002186, 0.026,
Wed Sep 9 16:40:00 PDT 2015, cage_G_04, 30, 30, 90, 15.00, 4.65, -0.645829, 3.00000, 0.00000, 0.00000, -nan, MKL SpMV, 0.00495, 0.036348, 0.436, CPU CSR I/O Proxy, 0.00343, 0.052506, 0.630, Merge SpMV, 0.00424, 0.042407, 0.509, Merge SpMV NUMA, Numa setup ms, 1.58620, 0.00416, 0.043277, 0.519, POSKI Tuned SpMV, poski tune ms, 24.08409, 0.06599, 0.002728, 0.033,
Wed Sep 9 16:40:05 PDT 2015, cage_G_05, 58, 58, 174, 8.68, 12.91, 0.568509, 3.00000, 0.00000, 0.00000, -nan, MKL SpMV, 0.00482, 0.072202, 0.866, CPU CSR I/O Proxy, 0.00358, 0.097332, 1.168, Merge SpMV, 0.00430, 0.080981, 0.972, Merge SpMV NUMA, Numa setup ms, 1.60408, 0.00420, 0.082763, 0.993, POSKI Tuned SpMV, poski tune ms, 56.54407, 0.06819, 0.005104, 0.061,
Wed Sep 9 16:40:10 PDT 2015, cage_G_06, 58, 58, 174, 10.06, 14.37, 0.451085, 3.00000, 0.00000, 0.00000, -nan, MKL SpMV, 0.00457, 0.076100, 0.913, CPU CSR I/O Proxy, 0.00319, 0.108971, 1.308, Merge SpMV, 0.00427, 0.081405, 0.977, Merge SpMV NUMA, Numa setup ms, 1.47390, 0.00414, 0.084145, 1.010, POSKI Tuned SpMV, poski tune ms, 62.33478, 0.06934, 0.005019, 0.060,
Wed Sep 9 16:40:16 PDT 2015, cage_G_07, 58, 58, 174, 10.03, 13.64, 0.488531, 3.00000, 0.00000, 0.00000, -nan, MKL SpMV, 0.00462, 0.075287, 0.903, CPU CSR I/O Proxy, 0.00318, 0.109355, 1.312, Merge SpMV, 0.00429, 0.081161, 0.974, Merge SpMV NUMA, Numa setup ms, 1.50800, 0.00422, 0.082429, 0.989, POSKI Tuned SpMV, poski tune ms, 49.73006, 0.07526, 0.004624, 0.055,
Wed Sep 9 16:40:21 PDT 2015, cage_G_08, 58, 58, 174, 9.30, 11.96, 0.590411, 3.00000, 0.00000, 0.00000, -nan, MKL SpMV, 0.00458, 0.076023, 0.912, CPU CSR I/O Proxy, 0.00327, 0.106540, 1.278, Merge SpMV, 0.00448, 0.077733, 0.933, Merge SpMV NUMA, Numa setup ms, 1.44815, 0.00434, 0.080103, 0.961, POSKI Tuned SpMV, poski tune ms, 45.17984, 0.07270, 0.004787, 0.057,
Wed Sep 9 16:40:27 PDT 2015, cage_G_09, 58, 58, 174, 9.25, 11.49, 0.611533, 3.00000, 0.00000, 0.00000, -nan, MKL SpMV, 0.00465, 0.074798, 0.898, CPU CSR I/O Proxy, 0.00374, 0.092929, 1.115, Merge SpMV, 0.00424, 0.082110, 0.985, Merge SpMV NUMA, Numa setup ms, 1.66202, 0.00414, 0.084145, 1.010, POSKI Tuned SpMV, poski tune ms, 40.84897, 0.06905, 0.005040, 0.060,
Wed Sep 9 16:40:32 PDT 2015, cage_G_10, 58, 58, 174, 9.28, 11.52, 0.609565, 3.00000, 0.00000, 0.00000, -nan, MKL SpMV, 0.00461, 0.075453, 0.905, CPU CSR I/O Proxy, 0.00355, 0.098080, 1.177, Merge SpMV, 0.00429, 0.081201, 0.974, Merge SpMV NUMA, Numa setup ms, 1.58095, 0.00429, 0.081074, 0.973, POSKI Tuned SpMV, poski tune ms, 71.60497, 0.07228, 0.004815, 0.058,
Wed Sep 9 16:40:38 PDT 2015, cage_G_11, 58, 58, 174, 10.29, 7.38, 0.713946, 3.00000, 0.00000, 0.00000, -nan, MKL SpMV, 0.00485, 0.071827, 0.862, CPU CSR I/O Proxy, 0.00352, 0.098896, 1.187, Merge SpMV, 0.00430, 0.081002, 0.972, Merge SpMV NUMA, Numa setup ms, 1.49584, 0.00425, 0.081845, 0.982, POSKI Tuned SpMV, poski tune ms, 32.52006, 0.06867, 0.005068, 0.061,
Wed Sep 9 16:40:43 PDT 2015, cage_G_12, 58, 58, 174, 10.22, 7.42, 0.715586, 3.00000, 0.00000, 0.00000, -nan, MKL SpMV, 0.00504, 0.069102, 0.829, CPU CSR I/O Proxy, 0.00329, 0.105629, 1.268, Merge SpMV, 0.00454, 0.076625, 0.919, Merge SpMV NUMA, Numa setup ms, 1.41001, 0.00439, 0.079211, 0.951, POSKI Tuned SpMV, poski tune ms, 73.30108, 0.06995, 0.004975, 0.060,
